date,Trips_Over_Past_24,Cumulative_Trips,Miles_Travelled_Day,Miles_Travelled_Cum,Total_Members,Member_Signups,Hour_24_Pass_Purchased,Week_Pass_Purchased
7/29/13,27411,1518375,50456,3549849,65227,509,1072,158
7/30/13,41474,1559849,76220,3626069,65728,501,1360,254
7/31/13,41895,1601744,76096,3702165,66169,441,1406,189
8/1/13,31816,1633560,56982,3759147,66169,378,823,127
8/2/13,33482,1667042,59594,3818741,66560,391,1260,143
8/3/13,35709,1702751,75277,3894018,66841,281,2419,174
8/4/13,37840,1740591,91271,3985289,67163,322,3333,233
8/5/13,36908,1777499,73996,4059285,67682,519,1780,226
8/6/13,42010,1819509,79460,4138745,68218,536,1427,224
8/7/13,41008,1860517,75541,4214286,68649,431,1284,192
8/8/13,35318,1895835,60893,4275179,68982,333,879,138
8/9/13,32241,1928076,55350,4330529,69265,283,931,125
8/10/13,40006,1968082,92915,4423444,69538,273,3574,181
8/11/13,37243,2005325,87354,4510798,69830,292,3059,211
8/12/13,30780,2036105,57383,4568181,70266,436,1230,180
8/13/13,26547,2062652,49136,4617317,70618,352,724,157
8/14/13,39134,2101786,74043,4691360,70992,374,1245,194
8/15/13,41628,2143414,76953,4768313,71397,405,1388,183
8/16/13,42814,2186228,76953,4845266,71760,363,1611,168
8/17/13,44083,2230311,102718,4947984,72022,262,4096,195
8/18/13,32968,2263279,70742,5018726,72320,298,2267,147
8/19/13,30839,2294118,54327,5073053,72790,470,1123,181
8/20/13,37854,2331972,68314,5141367,73193,403,1087,210
8/21/13,40291,2372263,70538,5211905,73582,389,1125,181
8/22/13,31133,2403396,52869,5264774,73925,343,718,127
8/23/13,38352,2442090,70553,5337112,74261,336,1386,163
8/24/13,37139,2479229,77909,5415021,74562,301,2742,165
8/25/13,34961,2514190,77285,5492306,74856,294,2811,181
8/26/13,31677,2545867,58118,5550424,75248,392,1234,159
8/27/13,34617,2580828,62964,5615700,75613,365,850,166
8/28/13,33051,2613879,58361,5674061,75943,330,769,124
8/29/13,35108,2648987,58328,5732389,76200,257,962,116
8/30/13,38706,2687693,68756,5801145,76470,270,1405,148
8/31/13,29391,2717084,60152,5861297,76703,233,2137,174
9/1/13,26497,2743581,58285,5919582,76902,199,2244,115
9/2/13,23632,2767213,49420,5969002,77127,225,1568,116
9/3/13,29092,2796305,50826,6019828,77477,350,905,123
9/4/13,38776,2835081,68629,6088457,77874,397,950,159
9/5/13,38527,2873608,68218,6156675,78234,360,1063,179
9/6/13,39723,2913331,69337,6226012,78568,334,1189,165
9/7/13,39023,2952354,79113,6305125,78820,252,2505,165
9/8/13,36214,2988568,75226,6380351,79143,323,2488,166
9/9/13,34351,3022919,59944,6440295,79532,389,1093,160
9/10/13,38548,3061467,69933,6510228,79879,347,785,174
9/11/13,39045,3100512,66050,6576278,80175,296,844,126
9/12/13,37927,3138439,63787,6640065,80448,273,795,151
9/13/13,35821,3174260,59947,6700012,80721,273,890,123
9/14/13,37175,3211435,73666,6773678,80936,215,2239,148
9/15/13,33523,3244958,66928,6840606,81164,228,2218,123
9/16/13,29638,3274596,49597,6890203,81481,317,842,126
9/17/13,39340,3313936,66549,6956752,81752,271,802,162
9/18/13,40755,3354691,67713,7024465,82034,282,837,145
9/19/13,40972,3395663,69374,7093839,82289,255,979,146
9/20/13,42904,3438567,74477,7168316,82538,249,1193,138
9/21/13,38539,3477106,75582,7243898,82726,188,2261,141
9/22/13,32296,3509402,65894,7309792,82940,214,2101,118
9/23/13,31831,3541233,54046,7363838,83214,274,891,140
9/24/13,39037,3580270,64390,7428228,83476,262,831,134
9/25/13,40615,3620885,67639,7495867,83682,206,858,133
9/26/13,40312,3661197,68267,7564134,83885,203,830,118
9/27/13,40919,3702116,68481,7632615,84091,206,992,119
9/28/13,38899,3741015,77465,7710080,84291,200,2337,117
9/29/13,35686,3776701,72892,7782972,84461,170,2288,129
9/30/13,34100,3810801,57565,7840537,84736,275,880,128
10/1/13,41148,3851949,66742,7907279,85050,314,819,131
10/2/13,43154,3895103,72169,7979448,85317,267,1069,162
10/3/13,43201,3938304,72548,8051996,85623,306,1122,145
10/4/13,43210,3981514,72522,8124518,86596,973,1322,136
10/5/13,39369,4020883,76258,8200776,87268,672,2747,153
10/6/13,30568,4051451,58282,8259058,87905,637,1771,102
10/7/13,26352,4077803,41077,8300135,88689,784,620,105
10/8/13,32943,4110746,52564,8352699,89045,356,734,114
10/9/13,39832,4150578,62409,8415108,89318,273,741,101
10/10/13,34036,4184614,50925,8466033,89521,203,499,94
10/11/13,35405,4220019,56090,8522123,89702,181,719,94
10/12/13,36322,4256341,71899,8594022,89872,170,2584,155
10/13/13,31358,4287699,61020,8655042,90058,186,2381,132
10/14/13,30622,4318321,52666,8707708,90316,258,1409,108
10/15/13,36674,4354995,59168,8766876,90533,217,917,137
10/16/13,39425,4394420,63009,8829885,90727,194,826,121
